Category,Prompt
Playful,Whisper a compliment in your partner’s ear.
Deep,How do you feel safe with me?
Funny,Who takes longer to get ready — and why?
Playful,Share your favorite inside joke.
Romantic,When did you first realize you were in love with me?
Playful,Draw each other in under a minute — no peeking!
Funny,"If we had a theme song, what would it be?"
Romantic,What's one thing you want to experience with me that we haven't yet?
Funny,What's your most embarrassing moment with me?
Romantic,When did you first realize you were in love with me?
Playful,Share your favorite inside joke.
Playful,Draw each other in under a minute — no peeking!
Funny,"If we were a famous duo, who would we be?"
Funny,What's your most embarrassing moment with me?
Funny,What’s the weirdest thing we’ve done together?
Deep,What scares you the most about our future?
Deep,What does love mean to you?
Funny,What’s the weirdest thing we’ve done together?
Playful,Hug for a full minute without saying a word.
Funny,"If we had a theme song, what would it be?"
Playful,Draw each other in under a minute — no peeking!
Funny,What's your most embarrassing moment with me?
Playful,Draw each other in under a minute — no peeking!
Playful,Draw each other in under a minute — no peeking!
Deep,How do you feel safe with me?
Playful,Whisper a compliment in your partner’s ear.
Playful,Hug for a full minute without saying a word.
Deep,What scares you the most about our future?
Romantic,What's one thing you want to experience with me that we haven't yet?
Romantic,When did you first realize you were in love with me?
Playful,Draw each other in under a minute — no peeking!
Funny,What's your most embarrassing moment with me?
Funny,Who takes longer to get ready — and why?
Playful,Share your favorite inside joke.
Playful,Stare into each other’s eyes for 30 seconds — no laughing!
Funny,What's your most embarrassing moment with me?
Romantic,What do you admire most about me?
Funny,"If we were a famous duo, who would we be?"
Playful,Stare into each other’s eyes for 30 seconds — no laughing!
Funny,"If we had a theme song, what would it be?"
Playful,Stare into each other’s eyes for 30 seconds — no laughing!
Deep,What’s one thing you’ve never told anyone else but would tell me?
Deep,What’s one thing you’ve never told anyone else but would tell me?
Deep,How have I changed you for the better?
Funny,What's your most embarrassing moment with me?
Playful,Share your favorite inside joke.
Playful,Whisper a compliment in your partner’s ear.
Deep,How do you feel safe with me?
Romantic,What song reminds you of our relationship?
Deep,What scares you the most about our future?
Deep,How do you feel safe with me?
Funny,"If we were a famous duo, who would we be?"
Playful,Draw each other in under a minute — no peeking!
Playful,Whisper a compliment in your partner’s ear.
Funny,"If we were a famous duo, who would we be?"
Deep,How have I changed you for the better?
Deep,What does love mean to you?
Playful,Share your favorite inside joke.
Funny,What’s the weirdest thing we’ve done together?
Funny,"If we were a famous duo, who would we be?"
Playful,Share your favorite inside joke.
Funny,"If we had a theme song, what would it be?"
Playful,Stare into each other’s eyes for 30 seconds — no laughing!
Playful,Whisper a compliment in your partner’s ear.
Romantic,What do you admire most about me?
