Prompt Type,Genre,Prompt
Truth,Sweet,Who was your childhood crush?
Dare,Sweet,Do your best celebrity impression.
Dare,Spicy,Send a flirty emoji to your crush.
Truth,Sweet,What’s your happiest memory?
Truth,Sweet,Who was your childhood crush?
Truth,Spicy,Have you ever had a one-night stand?
Dare,Spicy,Act out your favorite romantic movie scene.
Dare,Spicy,Send a flirty emoji to your crush.
Dare,Spicy,Describe your last steamy dream.
Dare,Sweet,Do your best celebrity impression.
Dare,Sweet,Do your best celebrity impression.
Truth,Spicy,Have you ever had a secret friends-with-benefits situation?
Truth,Sweet,Have you ever written a love letter?
Truth,Spicy,What’s the kinkiest thing you’ve done?
Dare,Spicy,Read a spicy text out loud.
Truth,Sweet,Who was your childhood crush?
Dare,Spicy,Act out your favorite romantic movie scene.
Truth,Sweet,What’s a dream you’ve never told anyone?
Dare,Spicy,Act out your favorite romantic movie scene.
Dare,Sweet,Text a friend and tell them they’re amazing.
Dare,Spicy,Describe your last steamy dream.
Dare,Spicy,Act out your favorite romantic movie scene.
Dare,Sweet,Text a friend and tell them they’re amazing.
Dare,Sweet,Text a friend and tell them they’re amazing.
Truth,Spicy,What’s the kinkiest thing you’ve done?
Truth,Sweet,What’s a dream you’ve never told anyone?
Dare,Spicy,Read a spicy text out loud.
Dare,Sweet,Sing a love song for someone in the room.
Truth,Sweet,What’s a dream you’ve never told anyone?
Dare,Spicy,Send a flirty emoji to your crush.
Truth,Sweet,What’s your happiest memory?
Truth,Spicy,Have you ever had a one-night stand?
Dare,Spicy,Describe your last steamy dream.
Truth,Spicy,What’s the kinkiest thing you’ve done?
Dare,Spicy,Read a spicy text out loud.
Dare,Spicy,Say something naughty using only food metaphors.
Truth,Spicy,Have you ever had a secret friends-with-benefits situation?
Truth,Sweet,Have you ever written a love letter?
Dare,Sweet,Do your best celebrity impression.
Truth,Sweet,What’s your happiest memory?
Dare,Sweet,Do your best celebrity impression.
Dare,Spicy,Send a flirty emoji to your crush.
Truth,Spicy,What’s the kinkiest thing you’ve done?
Dare,Sweet,Text a friend and tell them they’re amazing.
Dare,Spicy,Read a spicy text out loud.
Dare,Sweet,Text a friend and tell them they’re amazing.
